length	cima	cima_log
10000	0.050000	0.001000
20000	0.105000	0.001000
30000	0.140000	0.001000
40000	0.211000	0.001000
50000	0.222000	0.001000
60000	0.266000	0.001000
70000	0.340000	0.001000
80000	0.367000	0.001000
90000	0.400000	0.001000
100000	0.486000	0.001000
110000	0.495000	0.001000
120000	0.540000	0.001000
130000	0.613000	0.001000
140000	0.666000	0.001000
150000	0.672000	0.001000
160000	0.733000	0.001000
170000	0.790000	0.002000
180000	0.799000	0.002000
190000	0.843000	0.001000
200000	0.885000	0.001000
210000	0.935000	0.001000
220000	0.995000	0.001000
230000	1.016000	0.002000
240000	1.071000	0.001000
250000	1.107000	0.001000
260000	1.153000	0.001000
270000	1.196000	0.001000
280000	1.238000	0.001000
290000	1.278000	0.001000
300000	1.393000	0.001000
310000	1.403000	0.002000
320000	1.387000	0.001000
330000	1.410000	0.001000
340000	1.442000	0.001000
350000	1.494000	0.001000
360000	1.533000	0.001000
370000	1.591000	0.001000
380000	1.650000	0.001000
390000	1.641000	0.001000
400000	1.763000	0.001000
410000	1.881000	0.001000
420000	1.885000	0.001000
430000	1.905000	0.002000
440000	2.047000	0.001000
450000	2.001000	0.001000
460000	1.974000	0.001000
470000	2.012000	0.001000
480000	2.082000	0.002000
490000	2.287000	0.002000
500000	2.214000	0.001000
510000	2.188000	0.001000
520000	2.211000	0.001000
530000	2.275000	0.001000
540000	2.446000	0.001000
550000	2.463000	0.002000
560000	2.559000	0.001000
570000	2.584000	0.002000
580000	2.593000	0.002000
590000	2.685000	0.002000
600000	2.708000	0.002000
610000	2.791000	0.002000
620000	2.781000	0.002000
630000	2.883000	0.001000
640000	2.926000	0.001000
650000	2.895000	0.002000
660000	3.194000	0.001000
670000	3.028000	0.001000
680000	3.075000	0.001000
690000	3.203000	0.002000
700000	3.039000	0.001000
710000	3.251000	0.002000
720000	3.257000	0.001000
730000	3.280000	0.001000
740000	3.470000	0.002000
750000	3.465000	0.001000
760000	3.501000	0.003000
770000	3.514000	0.002000
780000	3.508000	0.002000
790000	3.638000	0.001000
800000	3.574000	0.002000
810000	3.772000	0.001000
820000	3.705000	0.002000
830000	3.855000	0.001000
840000	3.747000	0.001000
850000	3.909000	0.001000
860000	3.887000	0.001000
870000	3.940000	0.001000
880000	4.031000	0.001000
890000	4.075000	0.001000
900000	4.151000	0.001000
910000	4.182000	0.001000
920000	4.213000	0.002000
930000	4.397000	0.002000
940000	4.270000	0.001000
950000	4.410000	0.002000
960000	4.378000	0.001000
970000	4.375000	0.002000
980000	4.412000	0.002000
990000	4.476000	0.002000
